2025-05-27 21:35:40,277 - INFO - Episode 131 | Avg Reward: -0.0699 | Avg Q total: 2.5069 | Avg Loss: 0.4739 | Avg Entropy: 0.2498
2025-05-27 21:35:41,178 - INFO - Episode 132 | Avg Reward: -0.1039 | Avg Q total: 2.3848 | Avg Loss: 0.4399 | Avg Entropy: 0.2449
2025-05-27 21:35:42,008 - INFO - Episode 133 | Avg Reward: -0.1153 | Avg Q total: 2.2615 | Avg Loss: 0.5620 | Avg Entropy: 0.2400
2025-05-27 21:35:42,865 - INFO - Episode 134 | Avg Reward: -0.0751 | Avg Q total: 2.1592 | Avg Loss: 0.3242 | Avg Entropy: 0.2352
2025-05-27 21:35:43,702 - INFO - Episode 135 | Avg Reward: -0.1075 | Avg Q total: 2.0344 | Avg Loss: 0.6108 | Avg Entropy: 0.2305
2025-05-27 21:35:44,547 - INFO - Episode 136 | Avg Reward: -0.2157 | Avg Q total: 1.8383 | Avg Loss: 1.2635 | Avg Entropy: 0.2259
2025-05-27 21:35:45,396 - INFO - Episode 137 | Avg Reward: -0.1355 | Avg Q total: 1.7558 | Avg Loss: 0.7473 | Avg Entropy: 0.2215
2025-05-27 21:35:46,250 - INFO - Episode 138 | Avg Reward: -0.1092 | Avg Q total: 1.6337 | Avg Loss: 0.6902 | Avg Entropy: 0.2170
2025-05-27 21:35:47,106 - INFO - Episode 139 | Avg Reward: -0.0544 | Avg Q total: 1.5135 | Avg Loss: 0.5044 | Avg Entropy: 0.2127
2025-05-27 21:35:48,023 - INFO - Episode 140 | Avg Reward: -0.0881 | Avg Q total: 1.3846 | Avg Loss: 0.5687 | Avg Entropy: 0.2085
2025-05-27 21:35:48,862 - INFO - Episode 141 | Avg Reward: -0.0902 | Avg Q total: 1.2829 | Avg Loss: 0.4733 | Avg Entropy: 0.2043
2025-05-27 21:35:49,703 - INFO - Episode 142 | Avg Reward: -0.1109 | Avg Q total: 1.1548 | Avg Loss: 0.5102 | Avg Entropy: 0.2003
2025-05-27 21:35:50,542 - INFO - Episode 143 | Avg Reward: -0.0870 | Avg Q total: 1.0627 | Avg Loss: 0.3982 | Avg Entropy: 0.1963
2025-05-27 21:35:51,384 - INFO - Episode 144 | Avg Reward: -0.1132 | Avg Q total: 0.9420 | Avg Loss: 0.5772 | Avg Entropy: 0.1924
2025-05-27 21:35:52,211 - INFO - Episode 145 | Avg Reward: -0.0590 | Avg Q total: 0.8778 | Avg Loss: 0.3249 | Avg Entropy: 0.1886
2025-05-27 21:35:53,030 - INFO - Episode 146 | Avg Reward: -0.1157 | Avg Q total: 0.7654 | Avg Loss: 0.4456 | Avg Entropy: 0.1848
2025-05-27 21:35:53,895 - INFO - Episode 147 | Avg Reward: -0.1184 | Avg Q total: 0.6745 | Avg Loss: 0.7062 | Avg Entropy: 0.1811
2025-05-27 21:35:54,701 - INFO - Episode 148 | Avg Reward: -0.1046 | Avg Q total: 0.5934 | Avg Loss: 0.6957 | Avg Entropy: 0.1775
2025-05-27 21:35:55,509 - INFO - Episode 149 | Avg Reward: -0.0548 | Avg Q total: 0.5354 | Avg Loss: 0.4563 | Avg Entropy: 0.1740
2025-05-27 21:35:56,307 - INFO - Episode 150 | Avg Reward: -0.1548 | Avg Q total: 0.4194 | Avg Loss: 0.8691 | Avg Entropy: 0.1705
2025-05-27 21:35:57,113 - INFO - Episode 151 | Avg Reward: -0.1127 | Avg Q total: 0.3786 | Avg Loss: 0.6953 | Avg Entropy: 0.1671
2025-05-27 21:35:57,943 - INFO - Episode 152 | Avg Reward: -0.0800 | Avg Q total: 0.3183 | Avg Loss: 0.4332 | Avg Entropy: 0.1638
2025-05-27 21:35:58,729 - INFO - Episode 153 | Avg Reward: -0.0588 | Avg Q total: 0.2512 | Avg Loss: 0.4489 | Avg Entropy: 0.1605
2025-05-27 21:35:59,562 - INFO - Episode 154 | Avg Reward: -0.1501 | Avg Q total: 0.1504 | Avg Loss: 0.7743 | Avg Entropy: 0.1574
2025-05-27 21:36:00,374 - INFO - Episode 155 | Avg Reward: -0.0801 | Avg Q total: 0.1521 | Avg Loss: 0.4236 | Avg Entropy: 0.1542
2025-05-27 21:36:01,195 - INFO - Episode 156 | Avg Reward: -0.0522 | Avg Q total: 0.0730 | Avg Loss: 0.3549 | Avg Entropy: 0.1512
2025-05-27 21:36:02,086 - INFO - Episode 157 | Avg Reward: -0.0750 | Avg Q total: 0.0248 | Avg Loss: 0.6225 | Avg Entropy: 0.1481
2025-05-27 21:36:02,927 - INFO - Episode 158 | Avg Reward: -0.1152 | Avg Q total: -0.0131 | Avg Loss: 0.5981 | Avg Entropy: 0.1452
2025-05-27 21:36:03,745 - INFO - Episode 159 | Avg Reward: -0.0761 | Avg Q total: -0.0615 | Avg Loss: 0.4903 | Avg Entropy: 0.1423
2025-05-27 21:36:04,562 - INFO - Episode 160 | Avg Reward: -0.0530 | Avg Q total: -0.0602 | Avg Loss: 0.2897 | Avg Entropy: 0.1395
2025-05-27 21:36:05,382 - INFO - Episode 161 | Avg Reward: -0.0935 | Avg Q total: -0.1031 | Avg Loss: 0.4113 | Avg Entropy: 0.1367
2025-05-27 21:36:06,197 - INFO - Episode 162 | Avg Reward: -0.0995 | Avg Q total: -0.1334 | Avg Loss: 0.4781 | Avg Entropy: 0.1340
2025-05-27 21:36:07,009 - INFO - Episode 163 | Avg Reward: -0.0914 | Avg Q total: -0.1603 | Avg Loss: 0.6245 | Avg Entropy: 0.1313
2025-05-27 21:36:07,844 - INFO - Episode 164 | Avg Reward: -0.0826 | Avg Q total: -0.1763 | Avg Loss: 0.4956 | Avg Entropy: 0.1287
2025-05-27 21:36:08,619 - INFO - Episode 165 | Avg Reward: -0.0638 | Avg Q total: -0.1666 | Avg Loss: 0.3927 | Avg Entropy: 0.1261
2025-05-27 21:36:09,449 - INFO - Episode 166 | Avg Reward: -0.1612 | Avg Q total: -0.2441 | Avg Loss: 0.8506 | Avg Entropy: 0.1236
